food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0477,,Non-Indian reference food,70.0,Henry et al. GI tables (non-Indian cohort),403954.2,363558.8,444349.7,High,0.88,100,577077.5,Original country: China. Renamed generically for Indian audience.
NONIND_0478,Brownrice,Non-Indian reference food,82.0,Henry et al. GI tables (non-Indian cohort),16.4,14.8,18.0,Medium,0.88,100,20.0,"Original country: Taiwan,China. Renamed generically for Indian audience."
NONIND_0479,Taro,Non-Indian reference food,69.0,Henry et al. GI tables (non-Indian cohort),13.8,12.4,15.2,Medium,0.88,100,20.0,"Original country: Taiwan,China. Renamed generically for Indian audience."
NONIND_0480,Adlay,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),11.0,9.9,12.1,Medium,0.88,100,20.0,"Original country: Taiwan,China. Renamed generically for Indian audience."
NONIND_0481,Mungbeannoodles,Non-Indian reference food,28.0,Henry et al. GI tables (non-Indian cohort),5.6,5.0,6.2,Low,0.88,100,20.0,"Original country: Taiwan,China. Renamed generically for Indian audience."
NONIND_0482,Yam,Non-Indian reference food,52.0,Henry et al. GI tables (non-Indian cohort),10.4,9.4,11.4,Medium,0.88,100,20.0,"Original country: Taiwan,China. Renamed generically for Indian audience."
NONIND_0483,Whiterice(TRGC9152),Non-Indian reference food,52.2,Henry et al. GI tables (non-Indian cohort),15.7,14.1,17.2,Medium,0.88,100,30.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0484,Whiterice(TRGC9152),Non-Indian reference food,73.1,Henry et al. GI tables (non-Indian cohort),21.9,19.7,24.1,High,0.88,100,30.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0485,Whiterice(Khazar),Non-Indian reference food,62.4,Henry et al. GI tables (non-Indian cohort),18.7,16.8,20.6,Medium,0.88,100,30.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0486,Whiterice(Khazar),Non-Indian reference food,88.9,Henry et al. GI tables (non-Indian cohort),26.7,24.0,29.3,High,0.88,100,30.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0487,Steamedwhiterice,Non-Indian reference food,91.1,Henry et al. GI tables (non-Indian cohort),42.6,38.3,46.8,High,0.88,100,46.7,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0488,Riceporridge,Non-Indian reference food,98.4,Henry et al. GI tables (non-Indian cohort),17.0,15.3,18.7,Medium,0.88,100,17.2,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0489,Reheatedovernightrice,Non-Indian reference food,90.6,Henry et al. GI tables (non-Indian cohort),42.3,38.1,46.6,High,0.88,100,46.7,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0490,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),557.1,501.4,612.9,High,0.88,100,5571.4,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0491,,Non-Indian reference food,5.0,Henry et al. GI tables (non-Indian cohort),215.4,193.8,236.9,High,0.88,100,4307.7,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0492,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),557.1,501.4,612.9,High,0.88,100,5571.4,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0493,,Non-Indian reference food,5.0,Henry et al. GI tables (non-Indian cohort),329.4,296.5,362.4,High,0.88,100,6588.2,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0494,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),731.2,658.1,804.4,High,0.88,100,7312.5,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0495,,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),3386.8,3048.2,3725.5,High,0.88,100,6157.9,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0496,,Non-Indian reference food,5.0,Henry et al. GI tables (non-Indian cohort),469.2,422.3,516.2,High,0.88,100,9384.6,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0497,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),938.5,844.6,1032.3,High,0.88,100,9384.6,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0498,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),747.1,672.4,821.8,High,0.88,100,7470.6,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0499,,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),3064.3,2757.9,3370.7,High,0.88,100,5571.4,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0500,Steamedwhiterice+5gofcanolaoil+10g,Non-Indian reference food,91.9,Henry et al. GI tables (non-Indian cohort),37.7,33.9,41.4,High,0.88,100,41.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0501,,Non-Indian reference food,105.0,Henry et al. GI tables (non-Indian cohort),5822.7,5240.5,6405.0,High,0.88,100,5545.5,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0502,Steamedwhiterice+10gofcanolaoil+10g,Non-Indian reference food,91.3,Henry et al. GI tables (non-Indian cohort),35.9,32.4,39.5,High,0.88,100,39.4,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0503,,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),2925.0,2632.5,3217.5,High,0.88,100,5318.2,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0504,Steamedwhiterice+5gofcanolaoil+10g,Non-Indian reference food,94.0,Henry et al. GI tables (non-Indian cohort),38.5,34.7,42.4,High,0.88,100,41.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0505,,Non-Indian reference food,105.0,Henry et al. GI tables (non-Indian cohort),6405.0,5764.5,7045.5,High,0.88,100,6100.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0506,Steamedwhiterice+10gofcanolaoil+10g,Non-Indian reference food,96.3,Henry et al. GI tables (non-Indian cohort),37.9,34.1,41.7,High,0.88,100,39.4,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0507,,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),2580.8,2322.7,2838.8,High,0.88,100,4692.3,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0508,,Non-Indian reference food,5.0,Henry et al. GI tables (non-Indian cohort),396.9,357.2,436.6,High,0.88,100,7937.5,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0509,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),668.4,601.6,735.3,High,0.88,100,6684.2,Original country: Taiwan. Renamed generically for Indian audience.
